fill time utc;[CH4]
01.08.21 22:03;2000
01.08.21 22:42;2006
01.08.21 23:01;2008
01.08.21 23:20;2017
01.08.21 23:40;2067
02.08.21 00:38;2080
02.08.21 00:57;2080
02.08.21 01:16;2065
02.08.21 01:55;2038
02.08.21 02:14;2061
02.08.21 02:34;2030
02.08.21 02:53;2051
02.08.21 03:51;2069
02.08.21 04:11;2073
02.08.21 04:30;2054
02.08.21 05:09;2058
02.08.21 05:28;2085
02.08.21 05:47;2061
02.08.21 06:07;2081
02.08.21 07:05;2071
02.08.21 07:24;2093
02.08.21 07:44;2034
02.08.21 08:22;2004
02.08.21 08:42;2004
02.08.21 09:01;1980
02.08.21 09:20;2005
02.08.21 10:19;1968
02.08.21 10:38;1973
02.08.21 10:57;1934
02.08.21 11:36;1945
02.08.21 11:55;1972
02.08.21 12:15;1947
02.08.21 12:34;1971
02.08.21 13:32;1983
02.08.21 13:52;1987
02.08.21 14:11;1951
02.08.21 14:50;1951
02.08.21 15:09;1972
02.08.21 15:28;1962
02.08.21 15:48;1959
02.08.21 16:46;1945
02.08.21 17:05;1957
02.08.21 18:03;1947
02.08.21 18:42;1938
02.08.21 19:00;1972
02.08.21 19:21;1960
02.08.21 19:39;1963
02.08.21 20:38;1965
02.08.21 20:57;1973
02.08.21 21:17;1985
02.08.21 21:56;1983
02.08.21 22:14;1994
02.08.21 22:34;2013
02.08.21 22:53;2008
02.08.21 23:52;2016
03.08.21 00:10;1980
03.08.21 00:30;2032
03.08.21 01:09;2093
03.08.21 01:28;2086
03.08.21 01:48;2119
03.08.21 02:06;2108
03.08.21 03:05;2155
03.08.21 03:24;2145
03.08.21 03:44;2157
03.08.21 04:23;2123
03.08.21 04:41;2025
03.08.21 05:02;1995
03.08.21 05:20;1990
03.08.21 06:19;3077
03.08.21 06:37;2545
03.08.21 06:58;2374
03.08.21 07:36;2175
03.08.21 07:56;2028
03.08.21 08:15;2006
03.08.21 08:34;1977
03.08.21 09:33;1976
03.08.21 09:52;1973
03.08.21 10:11;1976
03.08.21 10:50;1993
03.08.21 11:09;1976
03.08.21 11:29;2007
03.08.21 11:48;1993
03.08.21 12:46;1995
03.08.21 13:06;1989
03.08.21 14:04;2008
03.08.21 14:42;2002
03.08.21 15:02;1973
03.08.21 15:21;1973
03.08.21 15:40;1973
03.08.21 16:39;2002
03.08.21 16:58;1973
03.08.21 17:17;2004
03.08.21 17:56;1975
03.08.21 18:15;1970
03.08.21 18:35;1981
03.08.21 18:54;1974
03.08.21 19:52;2051
03.08.21 20:12;2013
03.08.21 20:31;2031
03.08.21 21:10;2034
03.08.21 21:29;2043
03.08.21 21:48;2028
03.08.21 22:08;2029
03.08.21 23:06;2069
03.08.21 23:25;2061
03.08.21 23:45;2087
04.08.21 00:23;2070
04.08.21 00:43;2076
04.08.21 01:02;2080
04.08.21 01:21;2086
04.08.21 02:19;2159
04.08.21 02:39;2142
04.08.21 02:58;2198
04.08.21 03:37;2174
04.08.21 03:56;2182
04.08.21 04:16;2183
04.08.21 04:35;2162
04.08.21 05:33;2099
04.08.21 05:52;2106
04.08.21 06:12;2100
04.08.21 06:50;2083
04.08.21 07:10;2065
04.08.21 07:29;2045
04.08.21 07:49;2061
04.08.21 08:27;2067
04.08.21 08:47;2064
04.08.21 10:04;2004
04.08.21 10:43;1989
04.08.21 11:02;2007
04.08.21 11:22;1979
04.08.21 11:41;1989
04.08.21 12:20;1968
04.08.21 12:39;2009
04.08.21 12:58;1978
04.08.21 13:18;2000
04.08.21 13:56;1967
04.08.21 14:16;2007
04.08.21 14:35;1982
04.08.21 14:54;2015
04.08.21 15:33;2009
04.08.21 15:53;2011
04.08.21 16:12;1978
04.08.21 16:31;1997
04.08.21 17:10;1976
04.08.21 17:29;1975
04.08.21 17:49;1976
04.08.21 18:08;1981
04.08.21 18:47;2000
04.08.21 19:06;2012
04.08.21 19:26;2020
04.08.21 19:45;2057
04.08.21 20:24;2030
04.08.21 20:43;2052
04.08.21 21:02;2027
04.08.21 21:22;2033
04.08.21 22:00;2044
04.08.21 22:20;2071
04.08.21 22:39;2045
04.08.21 22:59;2098
04.08.21 23:37;2062
04.08.21 23:57;2071
05.08.21 00:16;2061
05.08.21 00:35;2059
05.08.21 01:14;2040
05.08.21 01:33;2063
05.08.21 01:53;2028
05.08.21 02:12;2079
05.08.21 02:51;2048
05.08.21 03:10;2032
05.08.21 03:30;2042
05.08.21 03:49;2030
05.08.21 04:28;2027
05.08.21 04:47;2043
05.08.21 05:06;2020
05.08.21 06:04;2058
05.08.21 06:43;2029
05.08.21 07:03;2024
05.08.21 07:22;2030
05.08.21 07:41;2022
05.08.21 08:20;2045
05.08.21 08:39;2115
05.08.21 08:59;2032
05.08.21 09:18;2034
05.08.21 09:57;2012
05.08.21 10:16;1995
05.08.21 10:36;1990
05.08.21 10:55;1988
05.08.21 11:34;1976
05.08.21 11:53;2002
05.08.21 12:12;1988
05.08.21 12:32;2022
05.08.21 13:10;1992
05.08.21 13:30;1999
05.08.21 13:49;2009
05.08.21 14:09;2013
05.08.21 14:47;2006
05.08.21 15:07;1977
05.08.21 15:26;1994
05.08.21 15:45;1974
05.08.21 16:24;1975
05.08.21 16:43;1996
05.08.21 17:03;1960
05.08.21 17:22;2001
05.08.21 18:01;2019
05.08.21 18:20;2015
05.08.21 18:40;2038
05.08.21 18:59;2010
05.08.21 19:38;1976
05.08.21 19:57;1975
05.08.21 20:16;1963
05.08.21 20:36;1989
05.08.21 21:14;2000
05.08.21 21:34;2048
05.08.21 21:53;2016
05.08.21 22:13;2013
05.08.21 22:51;2024
05.08.21 23:11;2034
05.08.21 23:30;2069
05.08.21 23:49;2026
06.08.21 00:28;2053
06.08.21 00:47;2075
06.08.21 01:07;2026
06.08.21 02:05;2059
06.08.21 02:44;2068
06.08.21 03:03;2099
06.08.21 03:22;2117
06.08.21 03:42;2085
06.08.21 04:20;2063
06.08.21 04:40;2068
06.08.21 04:59;2065
06.08.21 05:19;2059
06.08.21 05:57;2081
06.08.21 06:17;2052
06.08.21 06:36;2049
06.08.21 06:55;2046
06.08.21 07:34;2050
06.08.21 07:53;2083
06.08.21 08:13;2102
06.08.21 08:32;2071
06.08.21 09:11;2064
06.08.21 09:30;2024
06.08.21 09:50;2015
06.08.21 10:09;2032
06.08.21 10:48;2014
06.08.21 11:07;2007
06.08.21 11:26;2002
06.08.21 11:46;2004
06.08.21 12:24;2029
06.08.21 12:44;2007
06.08.21 13:03;1989
06.08.21 13:23;2004
06.08.21 14:01;2021
06.08.21 14:21;2003
06.08.21 14:40;2018
06.08.21 14:59;2023
06.08.21 15:38;1997
06.08.21 15:57;2022
06.08.21 16:17;2004
06.08.21 16:36;2016
06.08.21 17:15;2009
06.08.21 17:34;2011
06.08.21 17:54;2020
06.08.21 18:13;2021
06.08.21 18:52;1999
06.08.21 19:11;2035
06.08.21 19:30;1999
06.08.21 19:50;2024
06.08.21 20:28;2005
