fill time utc,[CH4] 13C,d13C VPDB,sd [CH4],sd d13C
01/08/2021 22:03,2008,-48.16,,
01/08/2021 22:42,2014,-48.17,,
01/08/2021 23:20,2026,-48.44,,
02/08/2021 00:38,2089,-48.66,1,0.06
02/08/2021 01:16,2073,-48.57,1,0.06
02/08/2021 01:55,2046,-48.96,1,0.06
02/08/2021 02:34,2039,-48.88,1,0.06
02/08/2021 03:51,2077,-48.56,3,0.03
02/08/2021 04:30,2062,-49.06,3,0.03
02/08/2021 05:09,2066,-49.26,3,0.03
02/08/2021 05:47,2070,-49.25,3,0.03
02/08/2021 07:05,2079,-48.82,2,0.01
02/08/2021 07:44,2042,-49.03,2,0.01
02/08/2021 08:22,2012,-48.91,2,0.01
02/08/2021 09:01,1988,-48.38,2,0.01
02/08/2021 10:19,1976,-47.96,14,0.25
02/08/2021 10:57,1942,-48.32,14,0.25
02/08/2021 11:36,1953,-48.26,14,0.25
02/08/2021 12:15,1955,-48.31,14,0.25
02/08/2021 13:32,1991,-48.01,6,0.19
02/08/2021 14:11,1959,-48.40,6,0.19
02/08/2021 14:50,1959,-48.30,6,0.19
02/08/2021 15:28,1970,-47.93,6,0.19
02/08/2021 16:46,1953,-48.67,1,0.03
02/08/2021 18:03,1955,-48.50,1,0.03
02/08/2021 18:42,1946,-48.48,1,0.03
02/08/2021 19:21,1968,-48.15,1,0.03
02/08/2021 20:38,1973,-48.49,21,0.20
02/08/2021 21:17,1993,-48.31,21,0.20
02/08/2021 21:56,1991,-48.46,21,0.20
02/08/2021 22:34,2021,-48.09,21,0.20
02/08/2021 23:52,2024,-48.32,1,0.10
03/08/2021 00:30,2041,-47.89,1,0.10
03/08/2021 01:09,2101,-48.14,1,0.10
03/08/2021 01:48,2128,-48.24,1,0.10
03/08/2021 03:05,2163,-48.79,6,0.05
03/08/2021 03:44,2166,-48.32,6,0.05
03/08/2021 04:23,2132,-48.20,6,0.05
03/08/2021 05:02,2003,-47.75,6,0.05
03/08/2021 06:19,3089,-53.15,3,0.13
03/08/2021 06:58,2384,-50.33,2,0.13
03/08/2021 07:36,2184,-48.61,2,0.13
03/08/2021 08:15,2014,-47.82,2,0.13
03/08/2021 09:33,1984,-48.20,4,0.07
03/08/2021 10:11,1984,-48.16,4,0.07
03/08/2021 10:50,2001,-47.90,4,0.07
03/08/2021 11:29,2015,-47.88,4,0.07
03/08/2021 12:46,2003,-48.28,7,0.06
03/08/2021 14:04,2016,-48.02,7,0.06
03/08/2021 14:42,2010,-47.96,7,0.06
03/08/2021 15:21,1981,-48.24,6,0.06
03/08/2021 16:39,2010,-48.07,1,0.03
03/08/2021 17:17,2012,-48.08,1,0.03
03/08/2021 17:56,1983,-48.33,1,0.03
03/08/2021 18:35,1989,-48.26,1,0.03
03/08/2021 19:52,2059,-47.92,13,0.02
03/08/2021 20:31,2040,-48.09,13,0.02
03/08/2021 21:10,2043,-48.43,13,0.02
03/08/2021 21:48,2036,-48.48,13,0.02
03/08/2021 23:06,2078,-48.19,17,0.18
03/08/2021 23:45,2095,-48.23,17,0.18
04/08/2021 00:23,2079,-48.62,17,0.18
04/08/2021 01:02,2088,-48.62,17,0.18
04/08/2021 02:19,2167,-48.46,7,0.07
04/08/2021 02:58,2206,-48.44,7,0.07
04/08/2021 03:37,2183,-48.79,7,0.07
04/08/2021 04:16,2192,-48.77,7,0.07
04/08/2021 05:33,2107,-48.68,15,0.07
04/08/2021 06:12,2108,-48.47,15,0.07
04/08/2021 06:50,2092,-48.62,15,0.07
