fill time utc,[CH4] 2H,d2H VSMOW,sd [CH4],sd d2H
01/08/2021 23:01,2016,-90.50,4,0.82
01/08/2021 23:40,2075,-98.34,4,0.82
02/08/2021 00:57,2088,-97.54,4,0.82
02/08/2021 02:14,2069,-96.19,4,0.62
02/08/2021 02:53,2059,-95.01,4,0.62
02/08/2021 04:11,2082,-97.53,4,0.62
02/08/2021 05:28,2093,-97.45,1,0.20
02/08/2021 06:07,2089,-98.37,1,0.20
02/08/2021 07:24,2101,-98.04,1,0.20
02/08/2021 08:42,2012,-90.02,4,0.23
02/08/2021 09:20,2013,-89.32,4,0.23
02/08/2021 10:38,1981,-85.26,4,0.23
02/08/2021 11:55,1980,-85.42,4,0.26
02/08/2021 12:34,1979,-86.56,4,0.26
02/08/2021 13:52,1995,-87.11,4,0.26
02/08/2021 15:09,1980,-87.23,6,0.16
02/08/2021 15:48,1967,-85.82,6,0.16
02/08/2021 17:05,1965,-86.25,6,0.16
02/08/2021 19:00,1980,-86.65,6,0.34
02/08/2021 19:39,1971,-87.06,6,0.34
02/08/2021 20:57,1981,-88.16,6,0.34
02/08/2021 22:14,2003,-90.67,11,0.45
02/08/2021 22:53,2017,-92.46,11,0.45
03/08/2021 00:10,1988,-90.64,11,0.45
03/08/2021 01:28,2095,-99.40,7,0.64
03/08/2021 02:06,2116,-102.48,7,0.64
03/08/2021 03:24,2153,-105.70,7,0.64
03/08/2021 04:41,2033,-94.13,3,0.50
03/08/2021 05:20,1998,-88.91,3,0.50
03/08/2021 06:37,2555,-137.64,4,0.50
03/08/2021 07:56,2036,-92.82,1,0.82
03/08/2021 08:34,1985,-87.85,1,0.82
03/08/2021 09:52,1981,-87.60,1,0.82
03/08/2021 11:09,1984,-88.03,6,0.82
03/08/2021 11:48,2001,-89.81,6,0.82
03/08/2021 13:06,1997,-89.92,6,0.82
03/08/2021 15:02,1981,-89.00,4,0.67
03/08/2021 15:40,1981,-88.47,4,0.67
03/08/2021 16:58,1981,-88.37,4,0.67
03/08/2021 18:15,1978,-88.14,6,0.58
03/08/2021 18:54,1982,-88.39,6,0.58
03/08/2021 20:12,2021,-90.92,6,0.58
03/08/2021 21:29,2051,-94.53,6,0.44
03/08/2021 22:08,2037,-93.83,6,0.44
03/08/2021 23:25,2069,-96.33,6,0.44
04/08/2021 00:43,2084,-98.49,5,0.32
04/08/2021 01:21,2095,-99.86,5,0.32
04/08/2021 02:39,2151,-104.87,6,0.32
04/08/2021 03:56,2191,-107.85,7,0.51
04/08/2021 04:35,2171,-106.97,7,0.51
04/08/2021 05:52,2115,-102.07,6,0.51
04/08/2021 07:10,2073,-98.44,7,0.52
04/08/2021 07:49,2069,-97.19,7,0.52
04/08/2021 08:27,2075,-97.53,7,0.52
04/08/2021 11:02,2015,-90.59,4,0.39
04/08/2021 11:41,1997,-90.36,4,0.39
04/08/2021 12:20,1976,-89.79,4,0.39
04/08/2021 12:58,1986,-89.11,4,0.39
04/08/2021 14:16,2015,-90.09,1,0.45
04/08/2021 14:54,2023,-92.02,1,0.45
04/08/2021 15:33,2017,-92.23,1,0.45
04/08/2021 16:12,1986,-90.50,1,0.45
04/08/2021 17:29,1983,-89.99,1,0.51
04/08/2021 18:08,1989,-89.07,1,0.51
04/08/2021 18:47,2008,-91.72,1,0.51
04/08/2021 19:26,2029,-93.77,1,0.51
04/08/2021 20:43,2061,-96.35,3,0.39
04/08/2021 21:22,2041,-96.63,3,0.39
04/08/2021 22:00,2053,-98.98,3,0.39
04/08/2021 22:39,2053,-97.93,3,0.39
04/08/2021 23:57,2080,-97.22,9,0.94
05/08/2021 00:35,2068,-96.06,8,0.94
05/08/2021 01:14,2048,-97.13,8,0.94
05/08/2021 01:53,2036,-95.73,8,0.94
05/08/2021 03:10,2040,-94.33,2,0.68
05/08/2021 03:49,2039,-94.85,2,0.68
05/08/2021 04:28,2036,-94.97,2,0.68
05/08/2021 05:06,2029,-94.88,2,0.68
05/08/2021 07:03,2032,-93.98,8,0.37
05/08/2021 07:41,2030,-93.44,8,0.37
05/08/2021 08:20,2053,-96.62,8,0.37
05/08/2021 08:59,2040,-95.81,8,0.37
05/08/2021 10:16,2003,-92.37,4,0.25
05/08/2021 10:55,1996,-91.65,4,0.25
05/08/2021 11:34,1984,-89.05,4,0.25
05/08/2021 12:12,1996,-90.64,4,0.25
05/08/2021 13:30,2008,-91.50,3,0.32
05/08/2021 14:09,2021,-90.82,3,0.32
05/08/2021 14:47,2014,-90.93,3,0.32
05/08/2021 15:26,2002,-89.76,3,0.32
05/08/2021 16:43,2004,-89.46,0,0.43
05/08/2021 17:22,2009,-88.52,0,0.43
05/08/2021 18:01,2027,-91.38,0,0.43
05/08/2021 18:40,2046,-93.38,0,0.43
05/08/2021 19:57,1983,-88.20,4,0.30
05/08/2021 20:36,1997,-87.87,4,0.30
05/08/2021 21:14,2008,-88.51,4,0.30
05/08/2021 21:53,2024,-92.53,4,0.30
05/08/2021 23:11,2043,-94.89,6,0.19
05/08/2021 23:49,2034,-95.87,6,0.19
06/08/2021 00:28,2062,-96.91,6,0.19
06/08/2021 01:07,2034,-96.29,6,0.19
06/08/2021 03:03,2108,-101.30,24,0.16
06/08/2021 03:42,2093,-99.74,24,0.16
