fill time utc,[CH4] 
01/08/2021 22:03,2008
01/08/2021 22:42,2014
01/08/2021 23:01,2016
01/08/2021 23:20,2026
01/08/2021 23:40,2075
02/08/2021 00:38,2089
02/08/2021 00:57,2088
02/08/2021 01:16,2073
02/08/2021 01:55,2046
02/08/2021 02:14,2069
02/08/2021 02:34,2039
02/08/2021 02:53,2059
02/08/2021 03:51,2077
02/08/2021 04:11,2082
02/08/2021 04:30,2062
02/08/2021 05:09,2066
02/08/2021 05:28,2093
02/08/2021 05:47,2070
02/08/2021 06:07,2089
02/08/2021 07:05,2079
02/08/2021 07:24,2101
02/08/2021 07:44,2042
02/08/2021 08:22,2012
02/08/2021 08:42,2012
02/08/2021 09:01,1988
02/08/2021 09:20,2013
02/08/2021 10:19,1976
02/08/2021 10:38,1981
02/08/2021 10:57,1942
02/08/2021 11:36,1953
02/08/2021 11:55,1980
02/08/2021 12:15,1955
02/08/2021 12:34,1979
02/08/2021 13:32,1991
02/08/2021 13:52,1995
02/08/2021 14:11,1959
02/08/2021 14:50,1959
02/08/2021 15:09,1980
02/08/2021 15:28,1970
02/08/2021 15:48,1967
02/08/2021 16:46,1953
02/08/2021 17:05,1965
02/08/2021 18:03,1955
02/08/2021 18:42,1946
02/08/2021 19:00,1980
02/08/2021 19:21,1968
02/08/2021 19:39,1971
02/08/2021 20:38,1973
02/08/2021 20:57,1981
02/08/2021 21:17,1993
02/08/2021 21:56,1991
02/08/2021 22:14,2003
02/08/2021 22:34,2021
02/08/2021 22:53,2017
02/08/2021 23:52,2024
03/08/2021 00:10,1988
03/08/2021 00:30,2041
03/08/2021 01:09,2101
03/08/2021 01:28,2095
03/08/2021 01:48,2128
03/08/2021 02:06,2116
03/08/2021 03:05,2163
03/08/2021 03:24,2153
03/08/2021 03:44,2166
03/08/2021 04:23,2132
03/08/2021 04:41,2033
03/08/2021 05:02,2003
03/08/2021 05:20,1998
03/08/2021 06:19,3089
03/08/2021 06:37,2555
03/08/2021 06:58,2384
03/08/2021 07:36,2184
03/08/2021 07:56,2036
03/08/2021 08:15,2014
03/08/2021 08:34,1985
03/08/2021 09:33,1984
03/08/2021 09:52,1981
03/08/2021 10:11,1984
03/08/2021 10:50,2001
03/08/2021 11:09,1984
03/08/2021 11:29,2015
03/08/2021 11:48,2001
03/08/2021 12:46,2003
03/08/2021 13:06,1997
03/08/2021 14:04,2016
03/08/2021 14:42,2010
03/08/2021 15:02,1981
03/08/2021 15:21,1981
03/08/2021 15:40,1981
03/08/2021 16:39,2010
03/08/2021 16:58,1981
03/08/2021 17:17,2012
03/08/2021 17:56,1983
03/08/2021 18:15,1978
03/08/2021 18:35,1989
03/08/2021 18:54,1982
03/08/2021 19:52,2059
03/08/2021 20:12,2021
03/08/2021 20:31,2040
03/08/2021 21:10,2043
03/08/2021 21:29,2051
03/08/2021 21:48,2036
03/08/2021 22:08,2037
03/08/2021 23:06,2078
03/08/2021 23:25,2069
03/08/2021 23:45,2095
04/08/2021 00:23,2079
04/08/2021 00:43,2084
04/08/2021 01:02,2088
04/08/2021 01:21,2095
04/08/2021 02:19,2167
04/08/2021 02:39,2151
04/08/2021 02:58,2206
04/08/2021 03:37,2183
04/08/2021 03:56,2191
04/08/2021 04:16,2192
04/08/2021 04:35,2171
04/08/2021 05:33,2107
04/08/2021 05:52,2115
04/08/2021 06:12,2108
04/08/2021 06:50,2092
04/08/2021 07:10,2073
04/08/2021 07:29,2053
04/08/2021 07:49,2069
04/08/2021 08:27,2075
04/08/2021 08:47,2072
04/08/2021 10:04,2012
04/08/2021 10:43,1997
04/08/2021 11:02,2015
04/08/2021 11:22,1987
04/08/2021 11:41,1997
04/08/2021 12:20,1976
04/08/2021 12:39,2017
04/08/2021 12:58,1986
04/08/2021 13:18,2008
04/08/2021 13:56,1975
04/08/2021 14:16,2015
04/08/2021 14:35,1990
04/08/2021 14:54,2023
04/08/2021 15:33,2017
04/08/2021 15:53,2019
04/08/2021 16:12,1986
04/08/2021 16:31,2005
04/08/2021 17:10,1984
04/08/2021 17:29,1983
04/08/2021 17:49,1984
04/08/2021 18:08,1989
04/08/2021 18:47,2008
04/08/2021 19:06,2020
04/08/2021 19:26,2029
04/08/2021 19:45,2065
04/08/2021 20:24,2038
04/08/2021 20:43,2061
04/08/2021 21:02,2035
04/08/2021 21:22,2041
04/08/2021 22:00,2053
04/08/2021 22:20,2079
04/08/2021 22:39,2053
04/08/2021 22:59,2107
04/08/2021 23:37,2071
04/08/2021 23:57,2080
05/08/2021 00:16,2069
05/08/2021 00:35,2068
05/08/2021 01:14,2048
05/08/2021 01:33,2071
05/08/2021 01:53,2036
05/08/2021 02:12,2088
05/08/2021 02:51,2057
05/08/2021 03:10,2040
05/08/2021 03:30,2050
05/08/2021 03:49,2039
05/08/2021 04:28,2036
05/08/2021 04:47,2051
05/08/2021 05:06,2029
05/08/2021 06:04,2066
05/08/2021 06:43,2037
05/08/2021 07:03,2032
05/08/2021 07:22,2038
05/08/2021 07:41,2030
05/08/2021 08:20,2053
05/08/2021 08:39,2124
05/08/2021 08:59,2040
05/08/2021 09:18,2042
05/08/2021 09:57,2020
05/08/2021 10:16,2003
05/08/2021 10:36,1999
05/08/2021 10:55,1996
05/08/2021 11:34,1984
05/08/2021 11:53,2010
05/08/2021 12:12,1996
05/08/2021 12:32,2031
05/08/2021 13:10,2000
05/08/2021 13:30,2008
05/08/2021 13:49,2017
