fill time utc;[CH4] 13C;d13C VPDB;sd [CH4];sd d13C
01.08.21 22:03;2000;-48,14;;
01.08.21 22:42;2006;-48,14;;
01.08.21 23:20;2017;-48,40;;
02.08.21 00:38;2080;-48,62;1;0,04
02.08.21 01:16;2065;-48,56;1;0,04
02.08.21 01:55;2038;-48,85;1;0,04
02.08.21 02:34;2030;-48,75;1;0,04
02.08.21 03:51;2069;-48,54;3;0,04
02.08.21 04:30;2054;-48,93;3;0,04
02.08.21 05:09;2058;-49,08;3;0,04
02.08.21 05:47;2061;-49,07;3;0,04
02.08.21 07:05;2071;-48,77;2;0,04
02.08.21 07:44;2034;-48,90;2;0,04
02.08.21 08:22;2004;-48,76;2;0,04
02.08.21 09:01;1980;-48,32;2;0,04
02.08.21 10:19;1968;-48,05;14;0,16
02.08.21 10:57;1934;-48,26;14;0,16
02.08.21 11:36;1945;-48,22;14;0,16
02.08.21 12:15;1947;-48,24;14;0,16
02.08.21 13:32;1983;-48,09;6;0,10
02.08.21 14:11;1951;-48,33;6;0,10
02.08.21 14:50;1951;-48,25;6;0,10
02.08.21 15:28;1962;-48,00;6;0,10
02.08.21 16:46;1945;-48,54;1;0,05
02.08.21 18:03;1947;-48,38;1;0,05
02.08.21 18:42;1938;-48,34;1;0,05
02.08.21 19:21;1960;-48,16;1;0,05
02.08.21 20:38;1965;-48,42;21;0,12
02.08.21 21:17;1985;-48,21;21;0,12
02.08.21 21:56;1983;-48,36;21;0,12
02.08.21 22:34;2013;-48,16;21;0,12
02.08.21 23:52;2016;-48,32;1;0,05
03.08.21 00:30;2032;-48,02;1;0,05
03.08.21 01:09;2093;-48,30;1;0,05
03.08.21 01:48;2119;-48,38;1;0,05
03.08.21 03:05;2155;-48,77;6;0,05
03.08.21 03:44;2157;-48,48;6;0,05
03.08.21 04:23;2123;-48,38;6;0,05
03.08.21 05:02;1995;-47,94;6;0,05
03.08.21 06:19;3077;-53,05;3;0,15
03.08.21 06:58;2374;-50,28;2;0,15
03.08.21 07:36;2175;-48,81;2;0,15
03.08.21 08:15;2006;-48,01;2;0,15
03.08.21 09:33;1976;-48,24;4;0,08
03.08.21 10:11;1976;-48,26;4;0,08
03.08.21 10:50;1993;-48,07;4;0,08
03.08.21 11:29;2007;-48,08;4;0,08
03.08.21 12:46;1995;-48,27;7;0,01
03.08.21 14:04;2008;-48,24;7;0,01
03.08.21 14:42;2002;-48,14;7;0,01
03.08.21 15:21;1973;-48,22;6;0,01
03.08.21 16:39;2002;-48,22;1;0,04
03.08.21 17:17;2004;-48,21;1;0,04
03.08.21 17:56;1975;-48,22;1;0,04
03.08.21 18:35;1981;-48,21;1;0,04
03.08.21 19:52;2051;-47,97;13;0,07
03.08.21 20:31;2031;-48,16;13;0,07
03.08.21 21:10;2034;-48,27;13;0,07
03.08.21 21:48;2028;-48,32;13;0,07
03.08.21 23:06;2069;-48,26;17;0,05
03.08.21 23:45;2087;-48,30;17;0,05
04.08.21 00:23;2070;-48,44;17;0,05
04.08.21 01:02;2080;-48,43;17;0,05
04.08.21 02:19;2159;-48,48;7;0,07
04.08.21 02:58;2198;-48,58;7;0,07
04.08.21 03:37;2174;-48,74;7;0,07
04.08.21 04:16;2183;-48,67;7;0,07
04.08.21 05:33;2099;-48,64;15;0,03
04.08.21 06:12;2100;-48,54;15;0,03
04.08.21 06:50;2083;-48,44;15;0,03
04.08.21 07:29;2045;-48,48;15;0,03
04.08.21 08:47;2064;-48,35;25;0,05
04.08.21 10:04;2004;-48,40;24;0,05
04.08.21 10:43;1989;-48,31;24;0,05
04.08.21 11:22;1979;-48,22;24;0,05
04.08.21 12:39;2009;-48,05;2;0,01
04.08.21 13:18;2000;-48,11;2;0,01
04.08.21 13:56;1967;-48,19;2;0,01
04.08.21 14:35;1982;-48,19;2;0,01
04.08.21 15:53;2011;-48,12;14;0,08
04.08.21 16:31;1997;-48,18;14;0,08
04.08.21 17:10;1976;-48,17;14;0,08
04.08.21 17:49;1976;-48,22;14;0,08
04.08.21 19:06;2012;-48,23;21;0,06
04.08.21 19:45;2057;-48,29;21;0,06
04.08.21 20:24;2030;-48,28;21;0,06
04.08.21 21:02;2027;-48,33;21;0,06
04.08.21 22:20;2071;-48,57;11;0,03
04.08.21 22:59;2098;-48,58;11;0,03
04.08.21 23:37;2062;-48,56;11;0,03
05.08.21 00:16;2061;-48,46;11;0,03
05.08.21 01:33;2063;-48,59;6;0,00
05.08.21 02:12;2079;-48,57;6;0,00
