fill time utc;[CH4] 2H;d2H VPDB;sd [CH4];sd d2H
01.08.21 23:01;2008;-90,50;4;0,82
01.08.21 23:40;2067;-98,34;4;0,82
02.08.21 00:57;2080;-97,54;4;0,82
02.08.21 02:14;2061;-96,19;4;0,62
02.08.21 02:53;2051;-95,01;4;0,62
02.08.21 04:11;2073;-97,53;4;0,62
02.08.21 05:28;2085;-97,45;1;0,20
02.08.21 06:07;2081;-98,37;1;0,20
02.08.21 07:24;2093;-98,04;1;0,20
02.08.21 08:42;2004;-90,02;4;0,23
02.08.21 09:20;2005;-89,32;4;0,23
02.08.21 10:38;1973;-85,26;4;0,23
02.08.21 11:55;1972;-85,42;4;0,26
02.08.21 12:34;1971;-86,56;4;0,26
02.08.21 13:52;1987;-87,11;4;0,26
02.08.21 15:09;1972;-87,23;6;0,16
02.08.21 15:48;1959;-85,82;6;0,16
02.08.21 17:05;1957;-86,25;6;0,16
02.08.21 19:00;1972;-86,65;6;0,34
02.08.21 19:39;1963;-87,06;6;0,34
02.08.21 20:57;1973;-88,16;6;0,34
02.08.21 22:14;1994;-90,67;11;0,45
02.08.21 22:53;2008;-92,46;11;0,45
03.08.21 00:10;1980;-90,64;11;0,45
03.08.21 01:28;2086;-99,40;7;0,64
03.08.21 02:06;2108;-102,48;7;0,64
03.08.21 03:24;2145;-105,70;7;0,64
03.08.21 04:41;2025;-94,13;3;0,50
03.08.21 05:20;1990;-88,91;3;0,50
03.08.21 06:37;2545;-137,64;4;0,50
03.08.21 07:56;2028;-92,82;1;0,82
03.08.21 08:34;1977;-87,85;1;0,82
03.08.21 09:52;1973;-87,60;1;0,82
03.08.21 11:09;1976;-88,03;6;0,82
03.08.21 11:48;1993;-89,81;6;0,82
03.08.21 13:06;1989;-89,92;6;0,82
03.08.21 15:02;1973;-89,00;4;0,67
03.08.21 15:40;1973;-88,47;4;0,67
03.08.21 16:58;1973;-88,37;4;0,67
03.08.21 18:15;1970;-88,14;6;0,58
03.08.21 18:54;1974;-88,39;6;0,58
