"fill.time.utc","X.CH4.","X.CH4..2H","d2H.VPDB","sd..CH4..x","sd.d2H","X.CH4..13C","d13C.VPDB","sd..CH4..y","sd.d13C","c13C","c2H"
2021-08-01 22:03:00,2000,NA,NA,NA,NA,2000,-48.14,"","",5e-04,NA
2021-08-01 22:42:00,2006,NA,NA,NA,NA,2006,-48.14,"","",0.000498504486540379,NA
2021-08-01 23:01:00,2008,2008,-90.5,4,0.82,NA,NA,NA,NA,NA,0.00049800796812749
2021-08-01 23:20:00,2017,NA,NA,NA,NA,2017,-48.4,"","",0.000495785820525533,NA
2021-08-01 23:40:00,2067,2067,-98.34,4,0.82,NA,NA,NA,NA,NA,0.000483792936623125
2021-08-02 00:38:00,2080,NA,NA,NA,NA,2080,-48.62,"1","0,04",0.000480769230769231,NA
2021-08-02 00:57:00,2080,2080,-97.54,4,0.82,NA,NA,NA,NA,NA,0.000480769230769231
2021-08-02 01:16:00,2065,NA,NA,NA,NA,2065,-48.56,"1","0,04",0.000484261501210654,NA
2021-08-02 01:55:00,2038,NA,NA,NA,NA,2038,-48.85,"1","0,04",0.000490677134445535,NA
2021-08-02 02:14:00,2061,2061,-96.19,4,0.62,NA,NA,NA,NA,NA,0.000485201358563804
2021-08-02 02:34:00,2030,NA,NA,NA,NA,2030,-48.75,"1","0,04",0.000492610837438424,NA
2021-08-02 02:53:00,2051,2051,-95.01,4,0.62,NA,NA,NA,NA,NA,0.000487567040468064
2021-08-02 03:51:00,2069,NA,NA,NA,NA,2069,-48.54,"3","0,04",0.000483325277912035,NA
2021-08-02 04:11:00,2073,2073,-97.53,4,0.62,NA,NA,NA,NA,NA,0.000482392667631452
2021-08-02 04:30:00,2054,NA,NA,NA,NA,2054,-48.93,"3","0,04",0.000486854917234664,NA
2021-08-02 05:09:00,2058,NA,NA,NA,NA,2058,-49.08,"3","0,04",0.000485908649173955,NA
2021-08-02 05:28:00,2085,2085,-97.45,1,0.2,NA,NA,NA,NA,NA,0.000479616306954436
2021-08-02 05:47:00,2061,NA,NA,NA,NA,2061,-49.07,"3","0,04",0.000485201358563804,NA
2021-08-02 06:07:00,2081,2081,-98.37,1,0.2,NA,NA,NA,NA,NA,0.000480538202787122
2021-08-02 07:05:00,2071,NA,NA,NA,NA,2071,-48.77,"2","0,04",0.000482858522452921,NA
2021-08-02 07:24:00,2093,2093,-98.04,1,0.2,NA,NA,NA,NA,NA,0.000477783086478739
2021-08-02 07:44:00,2034,NA,NA,NA,NA,2034,-48.9,"2","0,04",0.000491642084562439,NA
2021-08-02 08:22:00,2004,NA,NA,NA,NA,2004,-48.76,"2","0,04",0.000499001996007984,NA
2021-08-02 08:42:00,2004,2004,-90.02,4,0.23,NA,NA,NA,NA,NA,0.000499001996007984
2021-08-02 09:01:00,1980,NA,NA,NA,NA,1980,-48.32,"2","0,04",0.000505050505050505,NA
2021-08-02 09:20:00,2005,2005,-89.32,4,0.23,NA,NA,NA,NA,NA,0.000498753117206983
2021-08-02 10:19:00,1968,NA,NA,NA,NA,1968,-48.05,"14","0,16",0.000508130081300813,NA
2021-08-02 10:38:00,1973,1973,-85.26,4,0.23,NA,NA,NA,NA,NA,0.000506842372022301
2021-08-02 10:57:00,1934,NA,NA,NA,NA,1934,-48.26,"14","0,16",0.000517063081695967,NA
2021-08-02 11:36:00,1945,NA,NA,NA,NA,1945,-48.22,"14","0,16",0.00051413881748072,NA
2021-08-02 11:55:00,1972,1972,-85.42,4,0.26,NA,NA,NA,NA,NA,0.00050709939148073
2021-08-02 12:15:00,1947,NA,NA,NA,NA,1947,-48.24,"14","0,16",0.000513610683102209,NA
2021-08-02 12:34:00,1971,1971,-86.56,4,0.26,NA,NA,NA,NA,NA,0.000507356671740233
2021-08-02 13:32:00,1983,NA,NA,NA,NA,1983,-48.09,"6","0,10",0.000504286434694907,NA
2021-08-02 13:52:00,1987,1987,-87.11,4,0.26,NA,NA,NA,NA,NA,0.000503271263210871
2021-08-02 14:11:00,1951,NA,NA,NA,NA,1951,-48.33,"6","0,10",0.000512557662737058,NA
2021-08-02 14:50:00,1951,NA,NA,NA,NA,1951,-48.25,"6","0,10",0.000512557662737058,NA
2021-08-02 15:09:00,1972,1972,-87.23,6,0.16,NA,NA,NA,NA,NA,0.00050709939148073
2021-08-02 15:28:00,1962,NA,NA,NA,NA,1962,-48,"6","0,10",0.000509683995922528,NA
2021-08-02 15:48:00,1959,1959,-85.82,6,0.16,NA,NA,NA,NA,NA,0.000510464522715671
2021-08-02 16:46:00,1945,NA,NA,NA,NA,1945,-48.54,"1","0,05",0.00051413881748072,NA
2021-08-02 17:05:00,1957,1957,-86.25,6,0.16,NA,NA,NA,NA,NA,0.000510986203372509
2021-08-02 18:03:00,1947,NA,NA,NA,NA,1947,-48.38,"1","0,05",0.000513610683102209,NA
2021-08-02 18:42:00,1938,NA,NA,NA,NA,1938,-48.34,"1","0,05",0.000515995872033024,NA
2021-08-02 19:00:00,1972,1972,-86.65,6,0.34,NA,NA,NA,NA,NA,0.00050709939148073
2021-08-02 19:21:00,1960,NA,NA,NA,NA,1960,-48.16,"1","0,05",0.000510204081632653,NA
2021-08-02 19:39:00,1963,1963,-87.06,6,0.34,NA,NA,NA,NA,NA,0.000509424350483953
