UTC;Direction50m;Speed50m;Direction110m;Speed110m
01-08-2021 00:00:00;256.98;5.6;267.31;7.41
01-08-2021 00:10:00;252;4.92;262.85;6.44
01-08-2021 00:20:00;246.23;5.77;261.3;7.48
01-08-2021 00:30:00;251.46;5.65;261.01;7.75
01-08-2021 00:40:00;252.28;5.81;263.23;7.31
01-08-2021 00:50:00;252.33;5.01;264.9;6.42
01-08-2021 01:00:00;251.68;5.09;260.42;6.67
01-08-2021 01:10:00;252.37;5.2;263.59;6.39
01-08-2021 01:20:00;248.91;6.34;262.05;7.76
01-08-2021 01:30:00;247.85;5.11;261.35;6.73
01-08-2021 01:40:00;243.26;6.28;256.95;7.59
01-08-2021 01:50:00;244.54;4.53;254.56;6.05
01-08-2021 02:00:00;236.92;4.24;252.41;6.23
01-08-2021 02:10:00;241.93;4.88;255.43;6.6
01-08-2021 02:20:00;246.02;5.03;258.83;7
01-08-2021 02:30:00;248.98;5.65;260.49;7.43
01-08-2021 02:40:00;245.78;5.65;259.94;6.91
01-08-2021 02:50:00;237.1;4.86;249.72;6.38
01-08-2021 03:00:00;236.76;3.99;249.93;5.86
01-08-2021 03:10:00;244.17;5.51;255.27;6.81
01-08-2021 03:20:00;243.07;4.28;258.18;5.74
01-08-2021 03:30:00;242.29;4.38;256.58;5.88
01-08-2021 03:40:00;244.68;4.57;254.46;5.96
01-08-2021 03:50:00;243.95;4.75;255.27;6.49
01-08-2021 04:00:00;244.16;4.8;256.35;6.31
01-08-2021 04:10:00;244.87;5.27;258.78;6.77
01-08-2021 04:20:00;249.01;5.24;258.04;6.6
01-08-2021 04:30:00;250.22;5.73;261.92;7.38
01-08-2021 04:40:00;250.87;5.44;263.23;7.12
01-08-2021 04:50:00;264.07;5.56;275.5;7.29
01-08-2021 05:00:00;276.05;6;285.01;8.19
01-08-2021 05:10:00;273.54;5.42;285.25;6.93
01-08-2021 05:20:00;265.38;4.24;278.18;5.65
01-08-2021 05:30:00;254.06;4.56;271;5.78
01-08-2021 05:40:00;250.39;4.66;262.97;6.33
01-08-2021 05:50:00;253.18;4.94;267.93;6.06
01-08-2021 06:00:00;247.38;4.89;262.46;6.16
01-08-2021 06:10:00;242.4;4.48;256.88;5.69
01-08-2021 06:20:00;250.91;4.59;259.72;6.1
01-08-2021 06:30:00;254.25;5.36;264.04;6.13
01-08-2021 06:40:00;246.66;3.76;260.85;4.95
01-08-2021 06:50:00;238.52;3.68;254.19;4.32
01-08-2021 07:00:00;240.43;3.11;250.7;3.82
01-08-2021 07:10:00;238.19;3.02;256.09;3.99
01-08-2021 07:20:00;248.17;3.65;261.56;4.41
01-08-2021 07:30:00;249.42;4.57;259.63;5.66
01-08-2021 07:40:00;245.03;4.73;259.23;5.3
01-08-2021 07:50:00;247.37;4.62;258.23;5.41
01-08-2021 08:00:00;243.34;4.62;256;5.33
01-08-2021 08:10:00;229.01;3.49;244.92;4.55
01-08-2021 08:20:00;229.04;4.25;241.03;4.93
01-08-2021 08:30:00;233.77;4.13;245.96;4.85
01-08-2021 08:40:00;231.95;3.65;245.29;4.52
01-08-2021 08:50:00;239.28;3.71;248.15;4.54
01-08-2021 09:00:00;240.79;4.65;252.22;5.93
01-08-2021 09:10:00;238.82;4.9;251.08;5.5
01-08-2021 09:20:00;242.3;4.4;252.46;4.65
01-08-2021 09:30:00;235.7;4.68;245.47;5.25
01-08-2021 09:40:00;238.76;4.76;250.05;5.57
01-08-2021 09:50:00;236.25;4.46;249.23;5.12
01-08-2021 10:00:00;249.61;5.08;256.25;5.28
01-08-2021 10:10:00;244.78;4.32;253.61;4.97
01-08-2021 10:20:00;245.44;4.02;258.82;4.9
01-08-2021 10:30:00;237.42;3.25;248.21;3.67
01-08-2021 10:40:00;239.19;3.34;256.88;3.87
01-08-2021 10:50:00;237.18;4.82;249.6;5.19
01-08-2021 11:00:00;233.21;5.13;244.75;5.56
01-08-2021 11:10:00;237.33;4.44;244.27;4.71
01-08-2021 11:20:00;235.43;5.02;246.5;5.99
01-08-2021 11:30:00;251.03;4.4;258.21;4.94
01-08-2021 11:40:00;237;3.98;253.94;4.4
01-08-2021 11:50:00;233.29;5.79;244.27;6.32
01-08-2021 12:00:00;224.34;5.04;242.07;5.38
01-08-2021 12:10:00;225.47;4.05;244.27;4.17
01-08-2021 12:20:00;229.82;4.25;236.43;4.82
01-08-2021 12:30:00;245.57;4.15;253.99;4.58
01-08-2021 12:40:00;284.05;4.3;293.62;5.46
01-08-2021 12:50:00;304.6;5.55;310.91;6.35
01-08-2021 13:00:00;322.01;5.04;329.1;6.56
01-08-2021 13:10:00;326.73;5.09;330.15;6.55
01-08-2021 13:20:00;327.89;4.69;334.85;5.4
01-08-2021 13:30:00;318.49;3.49;325.46;4.44
01-08-2021 13:40:00;312.35;3.33;315.05;4.04
01-08-2021 13:50:00;305.18;2.6;314.46;3.33
01-08-2021 14:00:00;310.63;2.46;310.33;3.24
01-08-2021 14:10:00;278.69;3.76;291.21;5.48
01-08-2021 14:20:00;291.49;5.67;299.45;6.82
01-08-2021 14:30:00;290.3;5.63;297.45;6.28
01-08-2021 14:40:00;279.15;3.79;292.21;4.3
01-08-2021 14:50:00;278.56;3.7;289.02;4.67
01-08-2021 15:00:00;277.49;3.89;289.79;4.72
01-08-2021 15:10:00;275.28;5.32;285.22;6.09
