time,T,p
2021-08-01 00:00:00,16.27,1006.838
2021-08-01 00:10:00,16.23,1006.835
2021-08-01 00:20:00,16.04,1006.854
2021-08-01 00:30:00,15.99,1006.844
2021-08-01 00:40:00,16.09,1006.811
2021-08-01 00:50:00,16.12,1006.714
2021-08-01 01:00:00,16.1,1006.61
2021-08-01 01:10:00,16.03,1006.56
2021-08-01 01:20:00,15.97,1006.582
2021-08-01 01:30:00,15.94,1006.604
2021-08-01 01:40:00,15.93,1006.67
2021-08-01 01:50:00,15.94,1006.607
2021-08-01 02:00:00,15.92,1006.514
2021-08-01 02:10:00,15.91,1006.341
2021-08-01 02:20:00,15.97,1006.344
2021-08-01 02:30:00,15.97,1006.339
2021-08-01 02:40:00,15.95,1006.394
2021-08-01 02:50:00,15.99,1006.459
2021-08-01 03:00:00,15.94,1006.422
2021-08-01 03:10:00,15.95,1006.346
2021-08-01 03:20:00,15.99,1006.265
2021-08-01 03:30:00,15.96,1006.178
2021-08-01 03:40:00,15.94,1006.195
2021-08-01 03:50:00,15.86,1006.211
2021-08-01 04:00:00,15.8,1006.298
2021-08-01 04:10:00,15.71,1006.254
2021-08-01 04:20:00,15.68,1006.205
2021-08-01 04:30:00,15.62,1006.288
2021-08-01 04:40:00,15.39,1006.512
2021-08-01 04:50:00,15.27,1006.582
2021-08-01 05:00:00,15.31,1006.444
2021-08-01 05:10:00,15.41,1006.548
2021-08-01 05:20:00,15.5,1006.638
2021-08-01 05:30:00,15.51,1006.747
2021-08-01 05:40:00,15.51,1006.794
2021-08-01 05:50:00,15.54,1006.851
2021-08-01 06:00:00,15.56,1006.955
2021-08-01 06:10:00,15.64,1007.062
2021-08-01 06:20:00,15.72,1007.062
2021-08-01 06:30:00,15.88,1007.023
2021-08-01 06:40:00,15.94,1007.041
2021-08-01 06:50:00,15.99,1007.101
2021-08-01 07:00:00,16.12,1007.048
2021-08-01 07:10:00,16.2,1006.975
2021-08-01 07:20:00,16.31,1006.904
2021-08-01 07:30:00,16.5,1006.941
2021-08-01 07:40:00,16.6,1007.038
2021-08-01 07:50:00,16.58,1007.056
2021-08-01 08:00:00,16.68,1007.129
2021-08-01 08:10:00,16.72,1007.175
2021-08-01 08:20:00,16.66,1007.211
2021-08-01 08:30:00,16.76,1007.151
2021-08-01 08:40:00,17.04,1007.135
2021-08-01 08:50:00,17.3,1007.171
2021-08-01 09:00:00,17.49,1007.109
2021-08-01 09:10:00,17.53,1007.058
2021-08-01 09:20:00,17.71,1007.008
2021-08-01 09:30:00,17.74,1006.984
2021-08-01 09:40:00,17.92,1006.984
2021-08-01 09:50:00,17.97,1007.014
2021-08-01 10:00:00,17.96,1007.023
2021-08-01 10:10:00,17.97,1007.067
2021-08-01 10:20:00,17.94,1007.07
2021-08-01 10:30:00,18.5,1007.005
2021-08-01 10:40:00,18.84,1006.921
2021-08-01 10:50:00,18.89,1006.841
2021-08-01 11:00:00,19.33,1006.737
2021-08-01 11:10:00,19.5,1006.623
2021-08-01 11:20:00,18.92,1006.602
2021-08-01 11:30:00,19.33,1006.556
2021-08-01 11:40:00,20.06,1006.522
2021-08-01 11:50:00,20.55,1006.466
2021-08-01 12:00:00,20.63,1006.384
2021-08-01 12:10:00,20.25,1006.276
2021-08-01 12:20:00,20.71,1006.158
2021-08-01 12:30:00,20.48,1006.172
2021-08-01 12:40:00,19.15,1006.432
2021-08-01 12:50:00,16.92,1006.847
2021-08-01 13:00:00,16.37,1006.721
2021-08-01 13:10:00,16.36,1006.773
2021-08-01 13:20:00,16.06,1006.864
2021-08-01 13:30:00,15.98,1007.068
2021-08-01 13:40:00,15.8,1007.28
2021-08-01 13:50:00,16.05,1007.292
2021-08-01 14:00:00,16.12,1007.232
2021-08-01 14:10:00,16.39,1007.383
2021-08-01 14:20:00,16.58,1007.326
2021-08-01 14:30:00,16.48,1007.339
2021-08-01 14:40:00,16.41,1007.358
2021-08-01 14:50:00,16.51,1007.234
2021-08-01 15:00:00,16.97,1007.154
2021-08-01 15:10:00,16.93,1007.151
